familia,modo_color,formato,tipo_papel,papel,gramaje,cantidad_rango,caras,precio_pdf_objetivo_sin_iva,fuente_pdf_pagina
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,2 a 25,4/0,700.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,2 a 25,4/4,1043.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,2 a 25,4/0,670.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,2 a 25,4/4,1013.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,2 a 25,4/0,648.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,2 a 25,4/4,991.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,2 a 25,4/0,640.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,2 a 25,4/4,991.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,26 a 50,4/0,661.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,26 a 50,4/4,985.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,26 a 50,4/0,633.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,26 a 50,4/4,956.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,26 a 50,4/0,612.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,26 a 50,4/4,936.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,26 a 50,4/0,604.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,26 a 50,4/4,928.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,51 a 100,4/0,622.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,51 a 100,4/4,927.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,51 a 100,4/0,595.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,51 a 100,4/4,900.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,51 a 100,4/0,576.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,51 a 100,4/4,881.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,51 a 100,4/0,569.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,51 a 100,4/4,874.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,101 a 300,4/0,583.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,101 a 300,4/4,869.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,101 a 300,4/0,558.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,101 a 300,4/4,844.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,101 a 300,4/0,540.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,101 a 300,4/4,826.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,101 a 300,4/0,533.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,101 a 300,4/4,819.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,301 a 500,4/0,544.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,301 a 500,4/4,811.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,301 a 500,4/0,521.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,301 a 500,4/4,788.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,301 a 500,4/0,504.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,301 a 500,4/4,771.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,301 a 500,4/0,498.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,301 a 500,4/4,764.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,501 a 1000,4/0,505.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 150g,150g,501 a 1000,4/4,753.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,501 a 1000,4/0,484.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 115g,115g,501 a 1000,4/4,731.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,501 a 1000,4/0,468.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 90g,90g,501 a 1000,4/4,716.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,501 a 1000,4/0,462.0,4
Bajadas Fullcolor,fullcolor,A3+,liviano,A3 80g,80g,501 a 1000,4/4,710.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,1,4/0,1065.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 350g,350g,1,4/4,1484.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,1,4/0,1064.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 300g,300g,1,4/4,1483.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,1,4/0,1012.0,4
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex 200g,200g,1,4/4,1431.0,4
